"Date","Time","pH","MINUTES"
"29/09/2014","15:21:30",19.2,7755321
"29/09/2014","15:22:30",756.9,7755322
"29/09/2014","15:23:31",2456.6,7755323
"29/09/2014","15:24:31",3064.8,7755324
"29/09/2014","15:25:31",3268.8,7755325
"29/09/2014","15:26:31",3347.3,7755326
"29/09/2014","15:27:41",3462.5,7755327
"29/09/2014","15:27:46",3479.1,7755327
"29/09/2014","15:27:51",3485.2,7755327
"29/09/2014","15:27:57",3498.3,7755327
"29/09/2014","15:28:02",3511.3,7755328
"29/09/2014","15:28:07",3502.5,7755328
"29/09/2014","15:28:12",3496.1,7755328
"29/09/2014","15:28:52",3523.1,7755328
"29/09/2014","15:28:57",3519.2,7755328
"29/09/2014","15:29:02",3535.1,7755329
"29/09/2014","15:29:07",3548.3,7755329
"29/09/2014","15:29:12",3553.7,7755329
"29/09/2014","15:29:17",3539.9,7755329
"29/09/2014","15:29:22",3557.6,7755329
"29/09/2014","15:30:02",3577.1,7755330
"29/09/2014","15:30:07",3595.7,7755330
"29/09/2014","15:30:12",3598,7755330
"29/09/2014","15:30:17",3605.8,7755330
"29/09/2014","15:30:22",3611.7,7755330
"29/09/2014","15:30:27",3613.6,7755330
"29/09/2014","15:30:32",3602.6,7755330
"29/09/2014","15:31:12",3578.2,7755331
"29/09/2014","15:31:17",3595.5,7755331
"29/09/2014","15:31:22",3633.3,7755331
"29/09/2014","15:31:27",3638.7,7755331
"29/09/2014","15:31:32",3647.1,7755331
"29/09/2014","15:31:37",3650.2,7755331
"29/09/2014","15:31:42",3645.8,7755331
"29/09/2014","15:37:05",3695.6,7755337
"29/09/2014","15:37:10",3697.4,7755337
"29/09/2014","15:37:15",3723.5,7755337
"29/09/2014","15:37:20",3704.8,7755337
"29/09/2014","15:37:25",3678.6,7755337
"29/09/2014","15:37:30",3673.3,7755337
"29/09/2014","15:37:35",3670.8,7755337
"29/09/2014","15:37:40",3696.3,7755337
"29/09/2014","15:37:45",3697.1,7755337
"29/09/2014","15:38:31",3661.5,7755338
"29/09/2014","15:38:36",3637.9,7755338
"29/09/2014","15:38:41",3620.1,7755338
"29/09/2014","15:38:46",3607.3,7755338
"29/09/2014","15:38:51",3576.3,7755338
"29/09/2014","15:38:56",3568.2,7755338
"29/09/2014","15:39:01",3562.2,7755339
"29/09/2014","15:39:46",3517.6,7755339
"29/09/2014","15:39:51",3529.4,7755339
"29/09/2014","15:39:56",3518.3,7755339
"29/09/2014","15:40:01",3531.4,7755340
"29/09/2014","15:40:06",3519.8,7755340
"29/09/2014","15:40:11",3505.9,7755340
"29/09/2014","15:40:56",3488,7755340
"29/09/2014","15:41:01",3498.1,7755341
"29/09/2014","15:41:06",3484.9,7755341
"29/09/2014","15:41:11",3479.5,7755341
"29/09/2014","15:41:16",3477.2,7755341
"29/09/2014","15:41:21",3467,7755341
"29/09/2014","15:42:06",3431.4,7755342
"29/09/2014","15:42:11",3426.6,7755342
"29/09/2014","15:42:16",3431.1,7755342
"29/09/2014","15:42:21",3438,7755342
"29/09/2014","15:42:26",3417.3,7755342
"29/09/2014","15:42:31",3423.4,7755342
"29/09/2014","15:43:17",3352,7755343
"29/09/2014","15:43:22",3317.4,7755343
"29/09/2014","15:43:27",3277.3,7755343
"29/09/2014","15:43:32",3289.2,7755343
"29/09/2014","15:43:37",3288,7755343
"29/09/2014","15:43:42",3292.3,7755343
"29/09/2014","15:44:27",10921.4,7755344
"29/09/2014","15:44:32",6903.2,7755344
"29/09/2014","15:44:37",5568.5,7755344
"29/09/2014","15:44:42",5094,7755344
"29/09/2014","15:44:47",4928.7,7755344
"29/09/2014","15:44:52",4863.5,7755344
"29/09/2014","15:45:37",3603.2,7755345
"29/09/2014","15:45:42",3513.6,7755345
"29/09/2014","15:45:47",3470.4,7755345
"29/09/2014","15:45:52",3457.6,7755345
"29/09/2014","15:45:57",3455,7755345
"29/09/2014","15:46:02",3458.5,7755346
"29/09/2014","15:46:47",3521.1,7755346
"29/09/2014","15:46:52",3516.9,7755346
"29/09/2014","15:46:57",3531.7,7755346
"29/09/2014","15:47:03",3526.9,7755347
"29/09/2014","15:47:08",3534.6,7755347
"29/09/2014","15:47:13",3517.9,7755347
"29/09/2014","15:47:18",3526.2,7755347
"29/09/2014","15:47:58",3539.6,7755347
