"Date","Time","pH","MINUTES"
"29/09/2014","15:21:30",8.859,7755321
"29/09/2014","15:22:30",8.327,7755322
"29/09/2014","15:23:31",7.368,7755323
"29/09/2014","15:24:31",7.048,7755324
"29/09/2014","15:25:31",6.954,7755325
"29/09/2014","15:26:31",6.931,7755326
"29/09/2014","15:26:56",6.919,7755326
"29/09/2014","15:27:01",6.91,7755327
"29/09/2014","15:27:41",6.905,7755327
"29/09/2014","15:27:46",6.904,7755327
"29/09/2014","15:27:51",6.905,7755327
"29/09/2014","15:27:57",6.904,7755327
"29/09/2014","15:28:02",6.905,7755328
"29/09/2014","15:28:07",6.905,7755328
"29/09/2014","15:28:12",6.904,7755328
"29/09/2014","15:29:02",6.902,7755329
"29/09/2014","15:29:07",6.902,7755329
"29/09/2014","15:29:12",6.903,7755329
"29/09/2014","15:29:17",6.903,7755329
"29/09/2014","15:29:22",6.902,7755329
"29/09/2014","15:30:12",6.897,7755330
"29/09/2014","15:30:17",6.895,7755330
"29/09/2014","15:30:22",6.894,7755330
"29/09/2014","15:30:27",6.894,7755330
"29/09/2014","15:30:32",6.894,7755330
"29/09/2014","15:31:22",6.883,7755331
"29/09/2014","15:31:27",6.878,7755331
"29/09/2014","15:31:32",6.877,7755331
"29/09/2014","15:31:37",6.878,7755331
"29/09/2014","15:31:42",6.879,7755331
"29/09/2014","15:37:15",6.777,7755337
"29/09/2014","15:37:20",6.777,7755337
"29/09/2014","15:37:25",6.777,7755337
"29/09/2014","15:37:30",6.774,7755337
"29/09/2014","15:37:35",6.773,7755337
"29/09/2014","15:37:40",6.774,7755337
"29/09/2014","15:37:45",6.771,7755337
"29/09/2014","15:38:41",6.757,7755338
"29/09/2014","15:38:46",6.75,7755338
"29/09/2014","15:38:51",6.743,7755338
"29/09/2014","15:38:56",6.74,7755338
"29/09/2014","15:39:01",6.739,7755339
"29/09/2014","15:39:51",6.72,7755339
"29/09/2014","15:39:56",6.718,7755339
"29/09/2014","15:40:01",6.718,7755340
"29/09/2014","15:40:06",6.717,7755340
"29/09/2014","15:40:11",6.716,7755340
"29/09/2014","15:41:01",6.703,7755341
"29/09/2014","15:41:06",6.703,7755341
"29/09/2014","15:41:11",6.699,7755341
"29/09/2014","15:41:16",6.693,7755341
"29/09/2014","15:41:21",6.693,7755341
