"Date","Time","pH","MINUTES"
"29/09/2014","15:21:30",30.72,7755321
"29/09/2014","15:22:30",30.6,7755322
"29/09/2014","15:23:31",28.09,7755323
"29/09/2014","15:24:31",26.49,7755324
"29/09/2014","15:25:31",25.76,7755325
"29/09/2014","15:26:31",25.45,7755326
"29/09/2014","15:26:36",25.38,7755326
"29/09/2014","15:26:41",25.22,7755326
"29/09/2014","15:26:46",25.16,7755326
"29/09/2014","15:26:51",25.15,7755326
"29/09/2014","15:26:56",25.14,7755326
"29/09/2014","15:27:01",25.13,7755327
"29/09/2014","15:27:46",25.13,7755327
"29/09/2014","15:27:51",25.15,7755327
"29/09/2014","15:27:57",25.17,7755327
"29/09/2014","15:28:02",25.19,7755328
"29/09/2014","15:28:07",25.2,7755328
"29/09/2014","15:28:12",25.21,7755328
"29/09/2014","15:28:57",25.23,7755328
"29/09/2014","15:29:02",25.23,7755329
"29/09/2014","15:29:07",25.23,7755329
"29/09/2014","15:29:12",25.23,7755329
"29/09/2014","15:29:17",25.22,7755329
"29/09/2014","15:29:22",25.23,7755329
"29/09/2014","15:30:12",25.22,7755330
"29/09/2014","15:30:17",25.21,7755330
"29/09/2014","15:30:22",25.21,7755330
"29/09/2014","15:30:27",25.21,7755330
"29/09/2014","15:30:32",25.21,7755330
"29/09/2014","15:31:22",25.2,7755331
"29/09/2014","15:31:27",25.2,7755331
"29/09/2014","15:31:32",25.2,7755331
"29/09/2014","15:31:37",25.2,7755331
"29/09/2014","15:31:42",25.2,7755331
"29/09/2014","15:37:15",25,7755337
"29/09/2014","15:37:20",25,7755337
"29/09/2014","15:37:25",24.99,7755337
"29/09/2014","15:37:30",24.99,7755337
"29/09/2014","15:37:35",24.99,7755337
"29/09/2014","15:37:40",24.99,7755337
"29/09/2014","15:37:45",24.99,7755337
"29/09/2014","15:38:41",24.96,7755338
"29/09/2014","15:38:46",24.96,7755338
"29/09/2014","15:38:51",24.96,7755338
"29/09/2014","15:38:56",24.96,7755338
"29/09/2014","15:39:01",24.96,7755339
"29/09/2014","15:39:51",24.94,7755339
"29/09/2014","15:39:56",24.94,7755339
"29/09/2014","15:40:01",24.93,7755340
"29/09/2014","15:40:06",24.93,7755340
"29/09/2014","15:40:11",24.93,7755340
"29/09/2014","15:41:01",24.93,7755341
"29/09/2014","15:41:06",24.93,7755341
"29/09/2014","15:41:11",24.93,7755341
"29/09/2014","15:41:16",24.93,7755341
"29/09/2014","15:41:21",24.93,7755341
"29/09/2014","15:42:11",24.95,7755342
"29/09/2014","15:42:16",24.96,7755342
"29/09/2014","15:42:21",24.96,7755342
"29/09/2014","15:42:26",24.96,7755342
"29/09/2014","15:42:31",24.96,7755342
"29/09/2014","15:43:22",24.96,7755343
"29/09/2014","15:43:27",24.96,7755343
"29/09/2014","15:43:32",24.96,7755343
"29/09/2014","15:43:37",24.96,7755343
"29/09/2014","15:43:42",24.95,7755343
"29/09/2014","15:44:32",24.87,7755344
"29/09/2014","15:44:37",24.86,7755344
"29/09/2014","15:44:42",24.86,7755344
"29/09/2014","15:44:47",24.84,7755344
"29/09/2014","15:44:52",24.83,7755344
"29/09/2014","15:45:42",24.73,7755345
"29/09/2014","15:45:47",24.71,7755345
"29/09/2014","15:45:52",24.71,7755345
"29/09/2014","15:45:57",24.71,7755345
"29/09/2014","15:46:02",24.7,7755346
"29/09/2014","15:46:52",24.67,7755346
"29/09/2014","15:46:57",24.67,7755346
"29/09/2014","15:47:03",24.67,7755347
"29/09/2014","15:47:08",24.67,7755347
"29/09/2014","15:47:13",24.68,7755347
"29/09/2014","15:47:18",24.73,7755347
"29/09/2014","15:48:08",25.41,7755348
"29/09/2014","15:48:13",25.44,7755348
"29/09/2014","15:48:18",25.38,7755348
"29/09/2014","15:48:23",25.27,7755348
"29/09/2014","15:48:28",25.18,7755348
"29/09/2014","15:49:18",24.85,7755349
"29/09/2014","15:49:23",24.84,7755349
"29/09/2014","15:49:28",24.84,7755349
"29/09/2014","15:49:33",24.84,7755349
"29/09/2014","15:49:38",24.83,7755349
"29/09/2014","15:50:28",24.81,7755350
"29/09/2014","15:50:33",24.81,7755350
"29/09/2014","15:50:38",24.81,7755350
"29/09/2014","15:50:43",24.81,7755350
"29/09/2014","15:50:48",24.81,7755350
"29/09/2014","15:51:38",24.83,7755351
"29/09/2014","15:51:43",24.7,7755351
"29/09/2014","15:51:49",24.74,7755351
"29/09/2014","15:51:54",24.82,7755351
"29/09/2014","15:51:59",24.85,7755351
"29/09/2014","15:52:49",24.87,7755352
"29/09/2014","15:52:54",24.87,7755352
"29/09/2014","15:52:59",24.86,7755352
"29/09/2014","15:53:04",24.87,7755353
"29/09/2014","15:53:09",24.88,7755353
"29/09/2014","15:53:59",24.9,7755353
"29/09/2014","15:54:04",24.9,7755354
"29/09/2014","15:54:09",24.89,7755354
"29/09/2014","15:54:14",24.89,7755354
"29/09/2014","15:54:19",24.9,7755354
"29/09/2014","15:55:09",24.89,7755355
"29/09/2014","15:55:14",24.91,7755355
"29/09/2014","15:55:19",24.9,7755355
"29/09/2014","15:55:24",24.92,7755355
"29/09/2014","15:55:29",24.92,7755355
