"Date","Time","pH","MINUTES"
"29/09/2014","15:21:30",-62.4,7755321
"29/09/2014","15:22:30",-62.4,7755322
"29/09/2014","15:23:31",-62.4,7755323
"29/09/2014","15:24:31",-62.4,7755324
"29/09/2014","15:25:31",-62.4,7755325
"29/09/2014","15:26:31",-62.4,7755326
"29/09/2014","15:27:46",-62.4,7755327
"29/09/2014","15:27:51",-62.4,7755327
"29/09/2014","15:27:57",-62.4,7755327
"29/09/2014","15:28:02",-62.4,7755328
"29/09/2014","15:28:07",-62.4,7755328
"29/09/2014","15:28:12",-62.4,7755328
"29/09/2014","15:29:02",-62.4,7755329
"29/09/2014","15:29:07",-62.4,7755329
"29/09/2014","15:29:12",-62.4,7755329
"29/09/2014","15:29:17",-62.4,7755329
"29/09/2014","15:29:22",-62.4,7755329
"29/09/2014","15:30:12",-62.4,7755330
"29/09/2014","15:30:17",-62.4,7755330
"29/09/2014","15:30:22",-62.4,7755330
"29/09/2014","15:30:27",-62.4,7755330
"29/09/2014","15:30:32",-62.4,7755330
"29/09/2014","15:31:22",-62.4,7755331
"29/09/2014","15:31:27",-62.4,7755331
"29/09/2014","15:31:32",-62.4,7755331
"29/09/2014","15:31:37",-62.4,7755331
"29/09/2014","15:31:42",-62.4,7755331
"29/09/2014","15:37:15",257.7,7755337
"29/09/2014","15:37:20",260.4,7755337
"29/09/2014","15:37:25",260.1,7755337
"29/09/2014","15:37:30",249.6,7755337
"29/09/2014","15:37:35",256.3,7755337
"29/09/2014","15:37:40",248.6,7755337
"29/09/2014","15:37:45",247.9,7755337
"29/09/2014","15:38:41",265.1,7755338
"29/09/2014","15:38:46",257.8,7755338
"29/09/2014","15:38:51",255,7755338
"29/09/2014","15:38:56",260,7755338
"29/09/2014","15:39:01",268.7,7755339
"29/09/2014","15:39:51",246.1,7755339
"29/09/2014","15:39:56",249,7755339
"29/09/2014","15:40:01",257.8,7755340
"29/09/2014","15:40:06",251.6,7755340
"29/09/2014","15:40:11",258.2,7755340
"29/09/2014","15:41:01",264.6,7755341
"29/09/2014","15:41:06",251.2,7755341
"29/09/2014","15:41:11",254.3,7755341
"29/09/2014","15:41:16",261.3,7755341
"29/09/2014","15:41:21",255.4,7755341
"29/09/2014","15:42:11",276.4,7755342
"29/09/2014","15:42:16",278.6,7755342
"29/09/2014","15:42:21",279.7,7755342
"29/09/2014","15:42:26",287.3,7755342
"29/09/2014","15:42:31",286.5,7755342
"29/09/2014","15:43:22",310.3,7755343
"29/09/2014","15:43:27",326.6,7755343
"29/09/2014","15:43:32",329.8,7755343
"29/09/2014","15:43:37",312.9,7755343
"29/09/2014","15:43:42",305.3,7755343
"29/09/2014","15:44:32",345.6,7755344
"29/09/2014","15:44:37",347.2,7755344
"29/09/2014","15:44:42",355.4,7755344
"29/09/2014","15:44:47",361.6,7755344
"29/09/2014","15:44:52",372.3,7755344
"29/09/2014","15:45:42",366.7,7755345
"29/09/2014","15:45:47",365.4,7755345
"29/09/2014","15:45:52",366.4,7755345
"29/09/2014","15:45:57",366.7,7755345
"29/09/2014","15:46:02",360.3,7755346
"29/09/2014","15:46:52",366.7,7755346
"29/09/2014","15:46:57",364.4,7755346
"29/09/2014","15:47:03",363.3,7755347
"29/09/2014","15:47:08",365.9,7755347
"29/09/2014","15:47:13",365.5,7755347
"29/09/2014","15:47:18",361.6,7755347
"29/09/2014","15:48:08",344.7,7755348
"29/09/2014","15:48:13",362.7,7755348
"29/09/2014","15:48:18",357.6,7755348
"29/09/2014","15:48:23",350.4,7755348
"29/09/2014","15:48:28",345,7755348
"29/09/2014","15:49:18",464.6,7755349
"29/09/2014","15:49:23",621.1,7755349
"29/09/2014","15:49:28",516.9,7755349
"29/09/2014","15:49:33",431.3,7755349
"29/09/2014","15:49:38",395,7755349
"29/09/2014","15:50:28",343.9,7755350
"29/09/2014","15:50:33",338.1,7755350
"29/09/2014","15:50:38",416.6,7755350
"29/09/2014","15:50:43",403.7,7755350
"29/09/2014","15:50:48",368.7,7755350
"29/09/2014","15:51:38",241.4,7755351
"29/09/2014","15:51:43",37.1,7755351
"29/09/2014","15:51:49",-2.4,7755351
"29/09/2014","15:51:54",96.1,7755351
"29/09/2014","15:51:59",209.7,7755351
"29/09/2014","15:52:49",306.9,7755352
"29/09/2014","15:52:54",300.1,7755352
"29/09/2014","15:52:59",323.5,7755352
"29/09/2014","15:53:04",334,7755353
"29/09/2014","15:53:09",321.2,7755353
"29/09/2014","15:53:59",301.4,7755353
"29/09/2014","15:54:04",300.9,7755354
"29/09/2014","15:54:09",299.8,7755354
"29/09/2014","15:54:14",303.4,7755354
"29/09/2014","15:54:19",300.9,7755354
"29/09/2014","15:55:09",292.4,7755355
"29/09/2014","15:55:14",296.8,7755355
"29/09/2014","15:55:19",291.3,7755355
"29/09/2014","15:55:24",288.8,7755355
"29/09/2014","15:55:29",285.9,7755355
"29/09/2014","15:55:34",307.7,7755355
"29/09/2014","15:56:25",308.4,7755356
"29/09/2014","15:56:30",290.2,7755356
"29/09/2014","15:56:35",270.6,7755356
"29/09/2014","15:56:40",271.8,7755356
"29/09/2014","15:56:45",268.7,7755356
"29/09/2014","15:57:35",289.5,7755357
"29/09/2014","15:57:40",285.6,7755357
"29/09/2014","15:57:45",294.8,7755357
"29/09/2014","15:57:50",286,7755357
"29/09/2014","15:57:55",303.1,7755357
"29/09/2014","15:58:45",275.1,7755358
"29/09/2014","15:58:50",283.1,7755358
"29/09/2014","15:58:55",274.7,7755358
"29/09/2014","15:59:00",278.8,7755359
"29/09/2014","15:59:05",285.9,7755359
"29/09/2014","15:59:55",281.6,7755359
"29/09/2014","16:00:00",280.2,7755360
"29/09/2014","16:00:05",278.2,7755360
"29/09/2014","16:00:10",285.9,7755360
"29/09/2014","16:00:15",291,7755360
"29/09/2014","16:01:06",285.9,7755361
"29/09/2014","16:01:11",278.9,7755361
"29/09/2014","16:01:16",277.9,7755361
"29/09/2014","16:01:21",268.7,7755361
"29/09/2014","16:01:26",273.5,7755361
"29/09/2014","16:02:16",276.8,7755362
"29/09/2014","16:02:21",275.1,7755362
"29/09/2014","16:02:26",280.3,7755362
"29/09/2014","16:02:31",271.5,7755362
"29/09/2014","16:02:36",267,7755362
"29/09/2014","16:03:26",272.1,7755363
"29/09/2014","16:03:31",295.3,7755363
"29/09/2014","16:03:36",280.3,7755363
"29/09/2014","16:03:41",284.1,7755363
"29/09/2014","16:03:46",273,7755363
"29/09/2014","16:04:36",274,7755364
"29/09/2014","16:04:41",274.6,7755364
"29/09/2014","16:04:46",273.9,7755364
"29/09/2014","16:04:51",279.5,7755364
